,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,state,Hour Event Began,time_location
1154,March,2019-03-04,11:39:00,03/08/2019,16:52:00,Oklahoma:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Oklahoma,11,2019-03-04 11:00:00 | Oklahoma
1155,March,2019-03-05,09:12:00,03/05/2019,18:57:00,"California: Kern County, Los Angeles County; Utah: Salt Lake County; Wyoming: Converse County;",WECC,Cyber event that causes interruptions of electrical system operations.,System Operations,0,0,California,9,2019-03-05 9:00:00 | California
1156,March,2019-03-05,09:12:00,03/05/2019,18:57:00,"California: Kern County, Los Angeles County; Utah: Salt Lake County; Wyoming: Converse County;",WECC,Cyber event that causes interruptions of electrical system operations.,System Operations,0,0,Utah,9,2019-03-05 9:00:00 | Utah
1157,March,2019-03-05,09:12:00,03/05/2019,18:57:00,"California: Kern County, Los Angeles County; Utah: Salt Lake County; Wyoming: Converse County;",WECC,Cyber event that causes interruptions of electrical system operations.,System Operations,0,0,Wyoming,9,2019-03-05 9:00:00 | Wyoming
1158,March,2019-03-13,15:51:00,03/16/2019,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290,Texas,15,2019-03-13 15:00:00 | Texas
1159,March,2019-03-13,11:29:00,03/14/2019,21:11:00,Colorado: Jefferson County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,58,58379,Colorado,11,2019-03-13 11:00:00 | Colorado
1160,March,2019-03-13,05:50:00,03/13/2019,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124,Texas,5,2019-03-13 5:00:00 | Texas
1161,March,2019-03-13,15:00:00,03/14/2019,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000,Kansas,15,2019-03-13 15:00:00 | Kansas
1162,March,2019-03-13,15:00:00,03/14/2019,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000,Oklahoma,15,2019-03-13 15:00:00 | Oklahoma
1163,March,2019-03-13,15:00:00,03/14/2019,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000,Texas,15,2019-03-13 15:00:00 | Texas
1164,March,2019-03-13,06:12:00,03/13/2019,06:13:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,California,6,2019-03-13 6:00:00 | California
1165,March,2019-03-19,22:53:00,03/19/2019,22:54:00,Oklahoma:,SPP RE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Oklahoma,22,2019-03-19 22:00:00 | Oklahoma
